Owner,Position,Player,Round,Draft Slot
Rhodes,QB,Joe Burrow,6.0,9.0
Rhodes,QB,Andy Dalton,,
Rhodes,RB,Saquon Barkley,2.0,9.0
Rhodes,RB,Jonathan Taylor,3.0,9.0
Rhodes,RB,Tony Jones,,
Rhodes,RB,Caleb Huntley,,
Rhodes,TE,Travis Kelce,1.0,9.0
Rhodes,WR,Robert Woods,9.0,4.0
Rhodes,WR,Jarvis Landry,10.0,9.0
Rhodes,WR,Demarcus Robinson,,
Rhodes,WR,Josh Reynolds,,
Rhodes,WR,Donovan Peoples-Jones,,
Rhodes,WR,Chase Claypool,9.0,9.0
Rhodes,WR,Darnell Mooney,7.0,9.0
Stephen,DEF,Baltimore Ravens,10.0,4.0
Stephen,DEF,Philadelphia Eagles,16.0,1.0
Stephen,K,Brett Maher,,
Stephen,QB,Russell Wilson,7.0,4.0
Stephen,QB,Geno Smith,,
Stephen,RB,Joe Mixon,1.0,4.0
Stephen,RB,Samaje Perine,,
Stephen,RB,Jeff Wilson,13.0,4.0
Stephen,RB,Zack Moss,,
Stephen,RB,Hassan Haskins,,
Stephen,TE,T.J. Hockenson,6.0,4.0
Stephen,WR,DJ Chark,11.0,2.0
Stephen,WR,A.J. Brown,2.0,4.0
Stephen,WR,Jerry Jeudy,5.0,4.0
Stephen,WR,Justin Jefferson,11.0,4.0
Stephen,WR,Christian Watson,14.0,1.0
