Player,Position,Team,Round,Draft Slot,Keeper,Picked By,Owner
Jordan Howard,RB,PHI,8,1,,Eric,Eric
Drew Brees,QB,NO,9,1,,Eric,Eric
David Njoku,TE,CLE,9,2,,Chuck,
Delanie Walker,TE,TEN,9,3,,Pat,
Rashaad Penny,RB,SEA,9,4,,David,
Dante Pettis,WR,SF,9,5,,Jono,
Matt Ryan,QB,ATL,9,6,,Stephen,Stephen
Will Fuller,WR,HOU,9,7,,Damon,Damon
Emmanuel Sanders,WR,DEN,9,8,,Mike,Jono
Carson Wentz,QB,PHI,9,9,,Mike,Mike
Christian Kirk,WR,ARI,9,10,,Chris,Chris
Jacksonville Jaguars,DEF,JAX,10,10,,Chris,
George Kittle,TE,SF,10,9,,Justin,Justin
James Conner,RB,PIT,10,8,True,Mike,Mike
Nick Chubb,RB,CLE,10,7,True,Damon,Damon
Jaylen Samuels,RB,PIT,10,6,,Stephen,Mike
Nyheim Hines,RB,IND,10,5,,Jono,
D.J. Moore,WR,CAR,10,4,True,David,David
Sterling Shepard,WR,NYG,10,3,,Pat,
Patrick Mahomes,QB,KC,10,2,True,Chuck,Chuck
Los Angeles Rams,DEF,LAR,10,1,,Eric,Eric
Marvin Jones,WR,DET,11,1,,Eric,Eric
Baltimore Ravens,DEF,BAL,11,2,,Chuck,Chris
Kareem Hunt,RB,CLE,11,3,,Pat,Pat
Trey Burton,TE,CHI,11,4,,David,
Frank Gore,RB,BUF,11,5,,Jono,
Michael Gallup,WR,DAL,11,6,,Stephen,Stephen
Marquez Valdes-Scantling,WR,GB,11,7,,Damon,
D.K. Metcalf,WR,SEA,11,8,,Mike,Chuck
Cam Newton,QB,CAR,11,9,,Justin,
Tarik Cohen,RB,CHI,11,10,,Chris,
Russell Wilson,QB,SEA,12,10,,Chris,Chris
Corey Davis,WR,TEN,12,9,,Justin,
Darren Waller,TE,OAK,12,8,,Mike,Chris
Jared Goff,QB,LAR,12,7,,Damon,
Greg Zuerlein,K,LAR,12,6,,Stephen,
Tyler Lockett,WR,SEA,12,5,True,Jono,Jono
Los Angeles Chargers,DEF,LAC,12,4,,David,Damon
Ronald Jones II,RB,TB,12,3,,Pat,Pat
Darrell Henderson,RB,LAR,12,2,,Chuck,
Royce Freeman,RB,DEN,12,1,,Eric,Eric
Stephen Gostkowski,K,NE,13,1,,Eric,
James Washington,WR,PIT,13,2,,Chuck,
Seattle Seahawks,DEF,SEA,13,3,,Pat,Pat
Courtland Sutton,WR,DEN,13,4,,David,David
Larry Fitzgerald,WR,ARI,13,5,,Jono,Jono
Alexander Mattison,RB,MIN,13,6,,Stephen,Stephen
Adrian Peterson,RB,WAS,13,7,,Damon,Damon
Dallas Cowboys,DEF,DAL,13,8,,Mike,
Tom Brady,QB,NE,13,9,,Justin,David
Lamar Jackson,QB,BAL,13,10,,Chris,Chris
Justin Tucker,K,BAL,14,10,,Chris,Chris
Justice Hill,RB,BAL,14,9,,Justin,
Harrison Butker,K,KC,14,8,,Mike,Mike
Eric Ebron,TE,IND,14,7,,Damon,
Greg Olsen,TE,CAR,14,6,,Stephen,Pat
Wil Lutz,K,NO,14,5,,Jono,David
Carlos Hyde,RB,HOU,14,4,,David,David
Ben Roethlisberger,QB,PIT,14,3,,Pat,
Tony Pollard,RB,DAL,14,2,,Chuck,
Philip Rivers,QB,LAC,14,1,,Eric,Eric
Minnesota Vikings,DEF,MIN,15,1,,Eric,Eric
Robbie Gould,K,SF,15,2,,Chuck,Stephen
Donte Moncrief,WR,PIT,15,3,,Pat,
Dak Prescott,QB,DAL,15,4,,David,David
Philadelphia Eagles,DEF,PHI,15,5,,Jono,Justin
Kyler Murray,QB,ARI,15,6,,Stephen,Stephen
Detroit Lions,DEF,DET,15,7,,Damon,David
Justin Jackson,RB,LAC,15,8,,Mike,
Ka'imi Fairbairn,K,HOU,15,9,,Justin,
Hunter Renfrow,WR,OAK,15,10,,Chris,
Buffalo Bills,DEF,BUF,16,10,,Chris,Chris
Golden Tate,WR,NYG,16,9,,Chuck,Pat
Denver Broncos,DEF,DEN,16,8,,Justin,
Matt Prater,K,DET,16,7,,Damon,
New Orleans Saints,DEF,NO,16,6,,Stephen,Damon
Deebo Samuel,WR,SF,16,5,,Jono,Justin
Michael Badgley,K,LAC,16,4,,David,
Austin Seibert,K,CLE,16,3,,Pat,Pat
Jimmy Garoppolo,QB,SF,16,2,,Chuck,Chuck
Kyle Juszczyk,RB,SF,16,1,,Eric,
